A	A 1177
_ _ time	the same time 83	the first time 44	all the time 38	at the time 30	time to time 24	a long time 22	by the time 20	at a time 19	By the time 17	At the time 16	at this time 16	of the time 16	it was time 15	at any time 14	for some time 13
_ _ time _	the same time as 12
_ _ time as	the same time as 12
_ _ times	at all times 11
_ _ to	be able to 175	in order to 74	I want to 62	would like to 53	you want to 53	was going to 46	I have to 45	I had to 43	will have to 43	you have to 40	is important to 38	to go to 37	is likely to 36	do want to 34	you need to 34	I going to 32	is going to 31	is possible to 31	you going to 29	for you to 27	the need to 27	is necessary to 26	will need to 26	would have to 26	I wanted to 25	are going to 25	not going to 25	more likely to 24	was able to 24	I said to 22	from time to 21	I decided to 20	is difficult to 20	is not to 20	not have to 20	I used to 19	being able to 19	do have to 19	in time to 19	know what to 19	to come to 19	and then to 18	are likely to 18	be said to 18	did want to 18	is said to 18	it is to 18	more difficult to 18	to get to 18	to talk to 18	is essential to 17	it difficult to 17	the chance to 17	the way to 17	be prepared to 16	be used to 16	in relation to 16	is best to 16	the opportunity to 16	they are to 16	went back to 16	I like to 15	I need to 15	I went to 15	a chance to 15	and began to 15	been able to 15	go back to 15	it has to 15	the first to 15	we have to 15	You have to 14	and how to 14	she had to 14	they need to 14	to have to 14	to try to 14	went on to 14	I tried to 13	be made to 13	be possible to 13	know how to 13	no need to 13	the time to 13	they want to 13	be asked to 12	for him to 12	in which to 12	is easy to 12	is hard to 12	it possible to 12	so as to 12	the ability to 12	the right to 12	was sentenced to 12	you like to 12	you wish to 12	for me to 11	is better to 11	not want to 11	to listen to 11	to return to 11	turned back to 11	was about to 11	went over to 11	would seem to 11	you are to 11
_ _ to _	from time to time 20	is likely to be 19	be able to get 14	is going to be 12	know what to say 12	to go to the 11
_ _ to be	is likely to be 19	is going to be 12
_ _ to get	be able to get 14
_ _ to say	know what to say 12
_ _ to the	to go to the 11
_ _ to time	from time to time 20
_ _ top	at the top 11
_ _ two	of the two 27	one or two 26	between the two 25	There are two 16	there are two 12
_ _ typed	and Goldberg typed 15
_ _ used	can be used 30	to be used 13
_ _ very	is a very 29	can be very 14	to be very 11
_ _ view	point of view 25
_ _ waist	from the waist 11
_ _ want	I do want 27	If you want 18	do you want 11
_ _ want _	I do want to 22	If you want to 12
_ _ want to	I do want to 22	If you want to 12
_ _ wanted	what I wanted 12
_ _ was	that it was 43	that there was 31	and I was 29	and it was 26	that I was 23	But it was 21	but it was 21	that he was 21	thought it was 15	what I was 15	but I was 13	if it was 12	that this was 12	and there was 11	as it was 11	that she was 11	to do was 11
_ _ way	in the way 24	the same way 24	all the way 21	in this way 17	on the way 16	by the way 14	of the way 14	in a way 13	In this way 11	in any way 11
_ _ way _	the same way as 12
_ _ way as	the same way as 12
_ _ we	I think we 14
_ _ week	pound per week 12
_ _ were	if they were 16	as it were 12	that they were 11
_ _ what	to see what 21	do know what 20	you know what 18	I know what 13
_ _ wheel	the main wheel 13
_ _ which	way in which 20	ways in which 19
_ _ while	for a while 34
_ _ who	to those who 17	for those who 14	of people who 13	to people who 11
_ _ whole	as a whole 26	of the whole 17
_ _ why	do know why 11
_ _ will	and you will 16	the glider will 11
_ _ with	to do with 40	to deal with 24	in love with 19	for people with 17	in touch with 16	to cope with 16	to work with 12	in association with 11
_ _ woman	said the woman 17
_ _ women	men and women 14
_ _ words	In other words 19
_ _ work	of the work 19
_ _ world	of the world 63	in the world 62	from the world 14	the external world 11
_ _ would	If you would 11	that it would 11
_ _ would _	If you would like 11
_ _ would like	If you would like 11
_ _ written	Harsnet had written 12
_ _ wrote	glass he wrote 28	it he wrote 15	Dear he wrote 12
_ _ year	of the year 18	in the year 16
_ _ years	in recent years 11
_ _ you	What do you 45	so that you 24	I love you 22	I think you 22	to help you 18	Why do you 17	to see you 17	How do you 16	I tell you 15	I know you 14	I thought you 14	and if you 14	love with you 14	you think you 14	even if you 13	long as you 13	to tell you 13	is that you 12	know what you 12	sure that you 12	I told you 11	soon as you 11	that if you 11	what do you 11	will give you 11
_ _ you _	What do you mean 12
_ _ you mean	What do you mean 12
_ _ your	you and your 16	so that your 12
_ _ zanne	C eacute zanne 16
_ a	of a 1005	is a 907	in a 755	with a 724	for a 665	as a 530	was a 461	to a 446	and a 410	have a 342	on a 275	by a 263	be a 248	from a 207	at a 197	like a 196	into a 176	had a 150	has a 149	such a 147	that a 134	make a 129	not a 125	or a 124	it a 100	than a 100	only a 91	are a 81	been a 77	up a 66	you a 66	but a 63	take a 62	In a 57	also a 56	made a 54	get a 52	me a 52	after a 48	just a 47	It a 44	out a 44	about a 42	making a 42	give a 41	use a 41	being a 40	need a 40	become a 39	took a 39	find a 36	For a 35	got a 35	even a 33	provide a 33	through a 33	having a 32	there a 32	create a 31	her a 31	quite a 31	them a 31	were a 31	given a 30	As a 27	during a 27	if a 27	receive a 27	when a 27	without a 27	If a 26	the a 26	which a 26	called a 25	him a 25	once a 25	over a 25	using a 25	After a 24	With a 24	makes a 24	said a 24	under a 24	within a 24	found a 23	what a 22	What a 21	put a 21	then a 21	form a 20	see a 20	still a 20	do a 19	include a 19	produced a 19	I a 18	half a 18	pound a 18	saw a 18	always a 17	became a 17	gives a 17	On a 16	played a 16	produce a 16	think a 16	wrote a 16	Such a 15	When a 15	against a 15	much a 15	now a 15	provides a 15	takes a 15	But a 14	However a 14	between a 14	least a 14	times a 14	all a 13	gave a 13	keep a 13	producing a 13	want a 13	Not a 12	because a 12	both a 12	including a 12	obtain a 12	received a 12	say a 12	us a 12	wearing a 12	And a 11	There a 11	Use a 11	becomes a 11	behind a 11	buy a 11	developed a 11	enter a 11	go a 11	includes a 11	offer a 11	offers a 11	pay a 11	present a 11	rather a 11	remains a 11	requires a 11	seen a 11
_ a _	for a moment 40	for a few 34	for a while 34	is a very 29	as a result 27	is a good 27	as a whole 26	of a new 20	at a time 19	and a half 17	As a result 15	only a few 14	in a way 13	with a little 13	as a means 12	of a particular 12	is a great 11	with a reverse 11
_ a _ _	as a result of 21	with a reverse punch 11
_ a _ of	as a result of 21
_ a _ punch	with a reverse punch 11
_ a few	for a few 34	only a few 14
_ a good	is a good 27
_ a great	is a great 11
_ a half	and a half 17
_ a little	with a little 13
_ a means	as a means 12
_ a moment	for a moment 40
_ a new	of a new 20
_ a particular	of a particular 12
_ a result	as a result 27	As a result 15
_ a result _	as a result of 21
_ a result of	as a result of 21
_ a reverse	with a reverse 11
_ a reverse _	with a reverse punch 11
_ a reverse punch	with a reverse punch 11
_ a time	at a time 19
_ a very	is a very 29
_ a way	in a way 13
_ a while	for a while 34
_ a whole	as a whole 26
_ aacute	F aacute 11
_ aacute _	F aacute il 11
_ aacute il	F aacute il 11
_ ability	the ability 16
_ ability _	the ability to 12
_ ability to	the ability to 12
_ able	be able 176	was able 26	being able 19	been able 17	is able 11
_ able _	be able to 175	was able to 24	being able to 19	been able to 15
_ able _ _	be able to get 14
_ able _ get	be able to get 14
_ able to	be able to 175	was able to 24	being able to 19	been able to 15
_ able to _	be able to get 14
_ able to get	be able to get 14
_ about	information about 40	think about 35	talk about 31	know about 27	talking about 27	and about 26	is about 25	just about 24	you about 24	was about 23	something about 22	What about 21	of about 21	How about 19	more about 17	all about 15	be about 14	thinking about 12	thought about 12	worried about 12	me about 11	much about 11	thing about 11
_ about _	was about to 11
_ about to	was about to 11
_ above	the above 18
_ absence	the absence 12
_ absence _	the absence of 12
_ absence of	the absence of 12
_ academic	the academic 11
_ accept	to accept 34
_ access	of access 11
_ accident	an accident 14
_ achieve	to achieve 35
_ across	come across 11
_ act	to act 27
_ action	the action 26	of action 16
_ actions	and actions 14
_ actor	an actor 29	the actor 15
_ actual	the actual 22
_ actually	was actually 14	is actually 12
_ add	to add 19
_ added	he added 12
_ addition	In addition 39	in addition 12
_ admit	to admit 11
_ advance	in advance 12
_ advice	and advice 15	for advice 11
_ advise	to advise 12
_ afford	can afford 12
_ after	look after 19	and after 17	looking after 11
_ afternoon	the afternoon 21
_ again	and again 23	once again 17	Once again 15	back again 13	start again 12	it again 11	me again 11
_ age	the age 36	of age 17
_ age _	the age of 31
_ age of	the age of 31
_ ago	years ago 63
_ aim	The aim 13	the aim 12
_ air	the air 58
_ airbrake	full airbrake 21
_ airbrakes	the airbrakes 42
_ aircraft	the aircraft 30
_ alcohol	of alcohol 13
_ ale	real ale 13
_ all	at all 158	of all 151	and all 78	for all 78	it all 69	that all 66	in all 65	to all 55	is all 48	after all 47	was all 40	with all 39	are all 37	we all 35	It all 30	not all 26	were all 26	you all 23	After all 20	We all 19	them all 19	they all 19	above all 16	on all 16	They all 15	from all 15	be all 14	In all 11	by all 11
_ all _	of all the 24	and all the 16	in all the 13	at all times 11
_ all the	of all the 24	and all the 16	in all the 13
_ all times	at all times 11
_ alliance	the alliance 11
_ allow	to allow 36
_ allowed	be allowed 17
_ almost	is almost 23
_ already	have already 35	had already 19	is already 16	was already 16	has already 15	are already 14
_ also	is also 142	are also 79	can also 67	was also 66	will also 57	but also 56	and also 44	has also 27	It also 26	may also 24	were also 21	have also 20	must also 18	should also 18	would also 16	He also 15	it also 14	They also 13
_ also _	is also a 32	can also be 28	will also be 21	has also been 11
_ also a	is also a 32
_ also be	can also be 28	will also be 21
_ also been	has also been 11
_ alternative	an alternative 11
_ always	is always 75	not always 40	has always 27	are always 24	I always 21	will always 20	should always 19	have always 18	and always 17	was always 17	had always 16	must always 16	you always 13	he always 11	it always 11	nearly always 11
_ always _	has always been 13	should always be 13
_ always be	should always be 13
_ always been	has always been 13
_ am	I am 249
_ am _	I am not 17
_ am not	I am not 17
_ amount	the amount 43	applicable amount 11	small amount 11
_ amount _	the amount of 29
_ amount of	the amount of 29
_ an	is an 185	of an 160	as an 102	in an 102	with an 95	for an 64	to an 63	was an 57	and an 56	by an 56	be an 50	have an 46	from an 44	on an 33	or an 29	such an 29	has an 28	at an 27	had an 26	into an 26	like an 26	make an 24	that an 23	not an 18	In an 16	half an 16	provide an 15	you an 13	after an 12	also an 12	are an 12	about an 11
_ an _	half an hour 15	is an important 12	is an excellent 11
_ an excellent	is an excellent 11
_ an hour	half an hour 15
_ an important	is an important 12
_ and	the and 180	of and 123	up and 104	and and 103	it and 100	in and 89	back and 77	you and 75	time and 70	out and 68	him and 62	them and 53	wrote and 51	her and 48	again and 46	are and 46	between and 46	on and 46	this and 46	is and 42	down and 41	was and 40	a and 39	me and 39	said and 39	to and 39	try and 39	life and 38	work and 37	day and 36	information and 35	more and 34	both and 32	people and 32	room and 32	come and 31	for and 31	home and 31	training and 30	hand and 29	head and 29	with and 29	be and 28	eyes and 28	go and 28	away and 27	door and 27	now and 27	over and 27	there and 27	world and 27	forwards and 26	man and 26	Cameron and 25	London and 25	face and 25	first and 25	glass and 25	law and 25	or and 25	women and 25	years and 25	family and 24	here and 24	system and 24	advice and 23	feet and 23	place and 23	services and 23	style and 23	Romeo and 22	by and 22	film and 22	water and 22	wine and 22	body and 21	care and 21	ground and 21	help and 21	music and 21	together and 21	line and 20	men and 20	one and 20	pound and 20	she and 20	side and 20	staff and 20	year and 20	area and 19	friends and 19	new and 19	off and 19	position and 19	art and 18	food and 18	fruit and 18	hands and 18	health and 18	love and 18	mind and 18	money and 18	two and 18	voice and 18	way and 18	were and 18	arms and 17	character and 17	experience and 17	from and 17	height and 17	high and 17	movement and 17	steps and 17	wind and 17	The and 16	all and 16	as and 16	before and 16	books and 16	coffee and 16	colour and 16	dance and 16	death and 16	do and 16	hair and 16	lines and 16	round and 16	service and 16	table and 16	then and 16	trees and 16	turned and 16	England and 15	air and 15	children and 15	heart and 15	himself and 15	history and 15	hotel and 15	house and 15	kitchen and 15	period and 15	practice and 15	quality and 15	soil and 15	speed and 15	television and 15	another and 14	church and 14	floor and 14	foot and 14	garden and 14	good and 14	leaves and 14	mother and 14	national and 14	other and 14	pubs and 14	quickly and 14	slowly and 14	summer and 14	action and 13	age and 13	at and 13	bed and 13	clergy and 13	design and 13	direction and 13	emotions and 13	eye and 13	form and 13	hellip and 13	known and 13	leg and 13	needs and 13	office and 13	old and 13	physical and 13	right and 13	size and 13	so and 13	tea and 13	thought and 13	times and 13	woman and 13	Ashton and 12	Film and 12	John and 12	aged and 12	beer and 12	black and 12	car and 12	field and 12	his and 12	itself and 12	legs and 12	like and 12	moment and 12	name and 12	night and 12	oil and 12	paper and 12	possible and 12	problems and 12	schools and 12	space and 12	strength and 12	things and 12	us and 12	well and 12	young and 12	yourself and 12	Class and 11	Harsnet and 11	Ireland and 11	Lucy and 11	alcohol and 11	apart and 11	arm and 11	available and 11	behaviour and 11	control and 11	days and 11	hotels and 11	income and 11	knowledge and 11	myself and 11	open and 11	opponent and 11	power and 11	road and 11	small and 11	smiled and 11	stopped and 11	strong and 11	structure and 11	support and 11	too and 11	turn and 11	understand and 11	warm and 11	window and 11	wings and 11
